station,found_name,lat,lng
Abbey Wood Station,Abbey Wood Station,51.491073,0.121746
Acton Main Line Station,Acton Main Line Railway Station,51.51714,-0.26757
Bond Street Station,Bond Street Station,51.514243,-0.149786
Brentwood Station,United Kingdom,52.418788,-1.247349
Burnham Station,Burnham Station Carpark,51.523796,-0.646328
Canary Wharf Station,Canary Wharf Station,51.502824,-0.017979
Chadwell Heath Station,Chadwell Heath Railway Station,51.56809,0.12919
Custom House Station,Custom House Station,51.509913,0.02944
Ealing Broadway Station,Ealing Broadway Station,51.514046,-0.299753
Farringdon Station,Farringdon Station,51.520211,-0.105757
Forest Gate Station,Forest Gate Station,51.54879,0.024965
Gidea Park Station,Gidea Park Station Car Park,51.582046,0.204928
Goodmayes Station,Goodmayes Service Station,51.565174,0.103357
Hanwell Station,Hanwell Ambulance Station,51.505691,-0.335533
Harold Wood Station,Harold Wood Station,51.593029,0.232813
Hayes & Harlington Station,Hayes,51.379119,0.01348
Heathrow Central Station,Manual,51.4712,-0.4535
Heathrow T4 Station,Heathrow South Service Station,51.461208,-0.48183
Heathrow T5 Station,Travelodge Heathrow T5,51.4697,-0.51309
Ilford Station,Ilford Service Station,51.575726,0.045501
Iver Station,Iver Railway Station,51.509,-0.507
Langley Station,Langley Station,51.507988,-0.541866
Liverpool Street Station,Liverpool Street Station,51.519051,-0.079246
Maidenhead Station,Maidenhead Station,51.518804,-0.722023
Manor Park Station,Manor Park Railway Station,51.5526,0.0463
Maryland Station,Maryland Station,51.546207,0.007297
Paddington Station,Paddington Station,51.516382,-0.174173
Reading Station,Reading Station,51.458718,-0.97278
Romford Station,Romford Station,51.573884,0.182819
Seven Kings Station,Seven Kings Service Station,51.562,0.087403
Shenfield Station,Shenfield Station Taxis,51.630451,0.3285
Slough Station,Slough Station bike racks,51.512192,-0.591076
Southall Station,New Southall Station,51.506297,-0.377429
Stratford Station,Stratford Station,51.541199,-0.00228
Taplow Station,Taplow Station,51.523485,-0.681481
Tottenham Court Road Station,Tottenham Court Road Station,51.516653,-0.128114
Twyford Station,Twyford Station,51.47539,-0.863259
West Drayton Station,West Drayton Railway Station,51.50994,-0.47226
West Ealing Station,West Ealing Railway Station,51.5137,-0.3203
Whitechapel Station,Whitechapel Station,51.520342,-0.06065
Woolwich Station,North Woolwich Station (Closed),51.49904,0.062882
